price_billion,area_m2,bedrooms_num,district,direction,furniture_std,legal_std,floors_num,frontage_m,road_width_m,title,description,image_urls
15.5,47.7,3.0,Đống Đa,Không rõ,Không rõ,Không rõ,3.0,4.5,3.3,CBNN bán nhà sổ đỏ chính chủ trung tâm Nguyễn Lương Bằng - Full đồ đạc & nội thất gỗ cao cấp,"Vị trí VIP bám đường rộng 26m theo QH 1/500 quận Đống Đa.
Nhà đẹp trung tâm, khu dân trí cao, cán bộ NN đang ở, tiềm năng tăng giá mạnh sau quy hoạch xong.
Kết cấu: 3 tầng kiên cố.
Diện tích: 47,7m².
Hướng: Đông Nam.
Tầng 1: 2 sân trước sau thoáng mát, phòng khách, bếp.
Tầng 2: 1 ban công, 2 phòng ngủ, 1 WC.
Tầng 3: 1 phòng thờ, 1 thư phòng, 1 sân phơi.
Nội thất đẹp, full gỗ hương, lim cao cấp.
Nhà ngay ngõ 73 Nguyễn Lương Bằng thông sang phố Trần Hữu Tước.
Gần các trường: Đại học Bách Khoa, Kinh tế Quốc dân.
Gần các bệnh viện lớn: Việt Pháp, Bạch Mai, Đống Đa.
Gần ga tàu điện, Royal City và đầy đủ tiện ích trung tâm.
Giá bán: 325tr/m² - Tặng full đồ đạc & nội thất.
Làm việc trực tiếp chính chủ: Anh Bình
0916 199 ***
.
Miễn trung gian & môi giới.","[""https://file4.batdongsan.com.vn/resize/1275x717/2026/03/02/20260302112220-34cc_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/03/02/20260302112220-0de7_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/03/02/20260302112220-36a3_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/03/02/20260302112221-cd6c_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/03/02/20260302112221-d510_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/03/02/20260302112221-307a_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/03/02/20260302112220-34cc_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/03/02/20260302112220-0de7_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/03/02/20260302112220-36a3_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/03/02/20260302112221-cd6c_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/03/02/20260302112221-d510_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/03/02/20260302112221-307a_wm.jpg""]"
11.6,72.0,2.0,Khác,Không rõ,Không rõ,Không rõ,2.0,6.0,6.0,"BÁN NHÀ PHÂN LÔ, KINH DOANH PHỐ TRÂU QUỲ GIA LÂM, DT 72M, MẶT 6M, GIÁ 11,6 TỶ.","+ Nhà đang cho thuê kinh doanh cafe, một tháng thu 13 triệu.
+ Thiết kế 2 tầng, khung thép, vừa ở và kinh doanh.
+ Khu vực nhiều sinh viên Học viện Nông Nghiệp, xây nhà dòng tiền cho thuê rất phù hợp
+ Ngõ trước nhà ô tô qua, khoảng hơn 5m, phân lô bàn cờ, cách mặt phố Trâu Quỳ vài bước chân.
+ Sổ đỏ vuông văn.
+ Giá bán 11,6 tỷ.
+ Quý khách quan tâm xin gọi:
0389 814 ***","[""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/22/20260422154329-960e_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/22/20260422154333-3c5e_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/22/20260422154345-6960_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/22/20260422154329-960e_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/22/20260422154333-3c5e_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/22/20260422154345-6960_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2025/06/05/20250605100903-d14c.jpg""]"
15.8,46.0,4.0,Cầu Giấy,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,6.0,4.8,6.0,"Nhà Nguyễn Văn Huyên 46m2*6T xây mới, thang máy sịn, ô tô đỗ cửa, ngõ thông, full nội thất, 15.8 tỷ","Nhà mới đẹp ở ngay, full nội thất chỉ việc xách vali về là ở.
+ Nhà vị trí đẹp ngõ thông, ô tô đỗ cửa đi lại cực kỳ thuận tiện.
+ Nhà thiết kế hiện đại và hợp lý với mỗi tầng 1 phòng Master rộng, cửa sổ mở rộng thoáng sáng.
+ Tiện ích xung quanh không thiếu thứ gì, gần chợ, trường học, bãi gửi ô tô,....
+ Sổ đỏ vuông đẹp, không lỗi phong thủy.
+ Giá bán: 15.8 tỷ (có thương lượng)
+ Liên hệ: Đinh Trọng
Hãy gọi và kết bạn Zalo để biết thêm thông tin.","[""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/22/20260422151802-f317_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/22/20260422151804-4436_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/22/20260422151805-543a_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/22/20260422151806-8090_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/22/20260422151809-aa27_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/22/20260422151802-f317_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/22/20260422151804-4436_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/22/20260422151805-543a_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/22/20260422151806-8090_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/22/20260422151809-aa27_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/255x180/2026/02/25/20260225101315-6f9e.jpg""]"
8.0,40.0,6.0,Nam Từ Liêm,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.5,3.0,"Tôi chủ nhà bán nhà 6 phòng ngủ, 40m2 5T tại Phú Đô, ngõ ô tô tránh, trước nhà 3m chỉ 8 tỷ","Tôi chính chủ trên sổ đỏ bán nhà Lê Quang Đạo (Phú Đô), Nam Từ Liêm.
Nhà 35/40m² x 5 Tầng.
6 phòng 3 vệ sinh - full nội thất - ô chờ thang máy sẵn có.
(Có thể làm 6 phòng dòng tiền cho thuê hoặc sửa làm 8p cho thuê.
Nhà 5 tầng:
+ Tầng 1: Phòng khách và bếp, WC.
+ Tầng 2,3: Mỗi tầng 2 ngủ, WC.
+ Tầng 4: 1 phòng to + 1 phòng nhỏ và sân phơi.
+ Tầng 5: Tum + sân trồng cây...
- Phía sau có khe thoáng. Phòng nào đều gió thoáng tự nhiên, ánh sáng ngập tràn. Ban công View ra BV Hồng Ngọc.
- Trước nhà thoáng vĩnh viễn, ngõ ô tô tránh xe 3 gác, trước nhà rộng 3m.
- Ngõ 8.11.36 là ngõ đối diện trường C1 Phú Đô là ngõ kinh doanh, chạy quanh làng, ô tô cách nhà hơn 100m.
Sổ đỏ chính chủ.
Khách hàng liên hệ trực tiếp chủ
0963 319 ***
.
Miễn trung gian Môi giới.","[""https://file4.batdongsan.com.vn/resize/1275x717/2026/03/25/20260325104922-a0ce_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/03/25/20260325104922-4439_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/03/25/20260325104922-e4c8_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/03/25/20260325104922-00c6_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/03/25/20260325104922-0d8d_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/03/25/20260325104922-c57a_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/03/25/20260325104922-d1fc_wm.jpg"", ""https://sg1-cdn.pgimgs.com/listing/1936744977/UMOV.159116968.R550X550.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/03/25/20260325104922-a0ce_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/03/25/20260325104922-4439_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/03/25/20260325104922-e4c8_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/03/25/20260325104922-00c6_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/03/25/20260325104922-0d8d_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/03/25/20260325104922-c57a_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/03/25/20260325104922-d1fc_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/255x180/2026/03/25/20260325111646-e91d.jpg""]"
19.5,61.3,4.0,Hai Bà Trưng,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,3.0,5.45,3.0,"Nhà đẹp Trần Đại Nghĩa ngõ thông, cách vài nhà ra mặt phố. DT 61.3m², 3 tầng, giá tốt","Nằm trong ngõ 237 Trần Đại Nghĩa, cách mặt phố 20m, ngõ thông, xung quanh đầy đủ tiện ích. Gần các bệnh viện lớn: Bạch Mai, Lão khoa, Việt Pháp, gần các trường đại học uy tín Bách - Kinh - Xây.
Đến trung tâm thành phố 10 phút. Vài bước chân ra bến xe buýt, siêu thị, chợ dân sinh. Khu dân trí cao, an ninh đảm bảo.
Nhà dân thiết kế xây 3 tầng bê tông kiên cố, vuông vắn.
Diện tích đất trên sổ: 61,3 m² MT: 5,45 m, diện tích đất thực tế sử dụng: 71 m².
Kết cấu: 4 phòng ngủ, 3 WC, 1 phòng khách, 1 phòng bếp, 1 phòng thờ, sân phơi.
Thiết kế mỗi tầng 2 phòng, vệ sinh và cầu thang giữa.
Sân trước: 10m² để xe.
Khoảng không sau nhà 10m², thoáng mát, đón gió tự nhiên.
Sổ đỏ chính chủ, pháp lý rõ ràng.
Giá: 19,5 tỷ, có thương lượng cho khách thiện chí.
Liên hệ xem nhà: Chị Ngọc:
0915 574 ***
.","[""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/07/20260407103319-d436_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/07/20260407103319-7859_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/07/20260407103319-05c7_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/07/20260407103320-001d_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/07/20260407103320-04ec_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/07/20260407103319-d436_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/07/20260407103319-7859_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/07/20260407103319-05c7_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/07/20260407103320-001d_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/07/20260407103320-04ec_wm.jpg""]"
8.7,31.0,3.0,Đống Đa,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.5,3.3,"Tin chuẩn! P. Thái Thịnh, ngõ thông, 25m ô tô tránh, sát phố, mới đẹp, ở/ cho thuê, sổ CC, 31m2*5T","- Bán nhà riêng phố Thái Thịnh, phường Thịnh Quang (phường Đống Đa mới), Hà Nội. Diện tích sổ 31m², 5 tầng, giá chỉ 8.7 tỷ (Chủ thiện chí bán).
- Khu vực còn ít nhà bán, nhà mới đẹp trong tầm giá và khu vực. Từ nhà ra ô tô dừng đỗ chỉ 25m, rất gần mặt phố lớn. Ngõ thông, đi đâu cũng tiện. Khách mua về ở, tích sản, cho thuê kinh doanh nhỏ lẻ cực tiện.
- Khu vip trung tâm, tiện ích, an sinh không thiếu gì. Khách ở là mê!
- Thiết kế trẻ trung, hiện đại, đầy đủ công năng sử dụng. Nhà phù hợp với nhu cầu của nhiều hộ gia đình. Tổng 3PN.
- Sổ đỏ nở đẹp, sẵn sàng giao dịch.
- LH: Mr Khanh -
0913 573 ***
xem nhà miễn phí.","[""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/08/20260408105046-2dc3_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/08/20260408105046-7adf_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/08/20260408105046-92fc_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/08/20260408105046-04e6_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/08/20260408105046-8741_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/08/20260408105046-ed37_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/08/20260408105046-ee9d_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/08/20260408105046-2dc3_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/08/20260408105046-7adf_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/08/20260408105046-92fc_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/08/20260408105046-04e6_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/08/20260408105046-8741_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/08/20260408105046-ed37_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/08/20260408105046-ee9d_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/06/20260406185518-5ff3.jpg""]"
49.0,99.0,3.0,Hoàng Mai,Nam,Đầy đủ,Sổ đỏ/Sổ hồng,9.0,6.0,8.0,"Chính chủ bán căn văn phòng dòng tiền vừa ở vừa cho thuê, LH 0377 377 ***","Siêu phẩm tòa nhà văn phòng view Hồ Linh Đàm cực đẹp.
DT 99m2
Tòa nhà xây dựng 9 tầng gồm:
1 tầng hầm để xe rộng rãi.
5 tầng văn phòng cho thuê khai thác dòng tiền ổn định.
3 tầng penthouse cao cấp không gian sống đẳng cấp.
Vị trí đắc địa, view trực diện hồ Linh Đàm thoáng vĩnh viễn, không khí trong lành.
Thiết kế hiện đại, tối ưu công năng vừa ở vừa kinh doanh.
Phù hợp làm trụ sở công ty, văn phòng, căn hộ dịch vụ cao cấp.
Tiềm năng khai thác cao giá trị tăng trưởng bền vững.
Liên hệ ngay
0377 377 ***
để biết thêm chi tiết và xem nhà thực tế!","[""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/16/20260416095029-f9bd_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/16/20260416095029-d926_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/16/20260416095030-a79d_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/16/20260416095030-716d_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/16/20260416095029-f9bd_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/16/20260416095029-d926_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/16/20260416095030-a79d_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/16/20260416095030-716d_wm.jpg""]"
8.95,45.0,4.0,Hoàng Mai,Không rõ,Đầy đủ,Sổ đỏ/Sổ hồng,5.0,4.25,4.0,"Lương Khánh Thiện, 3 thoáng, sân riêng, gần ô tô, 1p ra đường đôi Tân Mai, nhà mới full NT, 45m2*5T","Lương Khánh Thiện - 3 mặt thoáng - gần đường đôi Tân Mai - Chung cư K35.
- Bán nhà Lương Khánh Thiện, 3 thoáng, diện tích 45m², giá 8.95 tỷ (thương lượng chính chủ).
- Vị trí đẹp ngõ thông ba gác chạy vù vù. Gần Tân Mai, Nguyễn Đức Cảnh, Trương Định, 300m ra Hồ Đền Lừ. Giao thông thuận tiện.
- Nhà xây 5 tầng 3 thoáng, thiết kế hợp lý đủ công năng 4 ngủ khép kín. Có khoảng sân để xe thoải mái.
- Nhà mới full nội thất khách chỉ cần xách vali về ở luôn.
- Sổ đỏ chính chủ sẵn sàng giao dịch.
Liên hệ Mr Hữu Việt:
0865 934 ***
.","[""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/23/20260423150405-bd3c_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/23/20260423150005-7897_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/23/20260423150003-f770_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/23/20260423150006-bb43_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/23/20260423150002-83fa_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/23/20260423150007-fbb3_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/23/20260423150405-bd3c_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/23/20260423150005-7897_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/23/20260423150003-f770_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/23/20260423150006-bb43_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/23/20260423150002-83fa_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/23/20260423150007-fbb3_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/03/26/20260326154154-f49a.jpg""]"
16.3,47.0,5.0,Thanh Xuân,Không rõ,Không rõ,Sổ đỏ/Sổ hồng,4.0,4.2,4.0,"Bán nhà phố Vương Thừa Vũ 47m2, phân lô, ô tô đỗ cửa vào nhà, đất quan chức, giá 16,3 tỷ","Siêu phẩm Thanh Xuân - mặt ngõ thẳng tắp - khu VIP phân lô quân đội, ô tô thông bàn cờ - đẹp vuông đét nét căng thoáng trước sau - ở, kinh doanh online văn phòng tuyệt vời.
Mô tả:
+ Vị trí siêu đẹp, ngõ to rộng thông phân lô bàn cờ, ô tô 4 chỗ vào nhà, khu VIP phân lô cán bộ. Xung quanh trung tâm tiện ích ngập tràn.
An sinh đỉnh. Cách mặt phố mấy bước chân. Khách về ở, kinh doanh online văn phòng tuyệt vời.
+ Nhà 4 tầng, chắc chắn, kiên cố, nét căng, đẹp, ở luôn, rộng thoáng trước thoáng sau (với khe thoáng 1m phía sau của 2 nhà) các phòng trước sau đều có cửa sổ thoáng sáng, mặt tiền ban công nên thơ. Thiết kế cầu thang giữa tầng 2 phòng, khách về ở luôn.
Cầu thang rộng ô chờ thang máy rộng - khách thích lắp thang máy nếu muốn.
Sổ nét căng, giao dịch ngay!
Liên hệ trực tiếp, gặp chính chủ:
0886 789 ***
.","[""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/14/20260414170929-a7b6_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/14/20260414170932-a1ad_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/14/20260414170935-3d0d_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/14/20260414170936-48e5_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/14/20260414170936-9f3e_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/14/20260414170937-0653_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/14/20260414170938-d192_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/14/20260414170938-bd0a_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/14/20260414170929-a7b6_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/14/20260414170932-a1ad_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/14/20260414170935-3d0d_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/14/20260414170936-48e5_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/14/20260414170936-9f3e_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/14/20260414170937-0653_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/14/20260414170938-d192_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/14/20260414170938-bd0a_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/12/20260412132620-82c3.jpg""]"
33.0,81.0,9.0,Ba Đình,Không rõ,Không nội thất,Sổ đỏ/Sổ hồng,6.0,4.0,7.0,Ô tô tránh - ngõ thông kinh doanh - tòa VP kết hợp cho thuê - 6 tầng thang máy - không quy hoạch,"Mặt ngõ ô tô tránh - ngõ thông kinh doanh - tòa VP kết hợp cho thuê - 6 tầng thang máy mới keeng - không quy hoạch.
* Mô tả:
- Vị trí đỉnh, chỉ vài bước chân ra mặt phố.
- Trước nhà ô tô tránh, ngõ thông kinh doanh sầm uất, ngõ cạnh nhà để ô tô thoải mái.
- Nhà xây mới keeng cực kỳ tâm huyết, nội thất đầu tư đắt tiền.
- Đầy đủ GPXD, bản vẽ thiết kế.
* Thiết kế:
- Tầng 1: Gara 2 ô tô hoặc cho thuê kinh doanh, 1 phòng + WC.
- Tầng 2: 1 phòng + WC.
- Tầng 3,4,5: Mỗi tầng 2 phòng WC khép kín.
- Tầng 6: 1 phòng có bếp rộng + WC, sân thượng.
- Sổ đỏ chính chủ vuông vắn, nở hậu.","[""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/22/20260422210057-16e0_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/22/20260422210057-4451_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/22/20260422210113-0dc6_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/22/20260422210113-534a_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/22/20260422210114-7dea_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/22/20260422210114-a004_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/22/20260422210114-f4e4_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/1275x717/2026/04/22/20260422210113-ad7b_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/22/20260422210057-16e0_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/22/20260422210057-4451_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/22/20260422210113-0dc6_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/22/20260422210113-534a_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/22/20260422210114-7dea_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/22/20260422210114-a004_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/22/20260422210114-f4e4_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2026/04/22/20260422210113-ad7b_wm.jpg"", ""https://file4.batdongsan.com.vn/resize/200x200/2025/10/04/20251004135345-c216.jpg""]"
